strategy,complexity,workload,seed,read_avg_ms,read_p95_ms,throughput_qps,load_cv,staleness_pct,router_overhead_ms,avg_cpu_pct,total_queries,total_reads,total_writes,errors,duration_s
least_conn,medium,read_heavy,242,87.20922239854636,211.48810000158846,598.0106416838788,1.0140195173834803,0.0,0.0031997598277727344,9.435574229691875,358862,340875,17987,0,600.0929999999935
least_conn,medium,read_heavy,342,87.8980539047872,212.1412999695167,593.131430951885,1.014520778800387,0.0,0.0031906139527278217,9.464689265536723,355953,338329,17624,0,600.125
least_conn,medium,read_heavy,442,88.51079963781842,212.2022999683395,588.3505432880638,1.0119981716532933,0.0,0.003158200292565965,9.693277310924369,353148,335564,17584,0,600.234000000055
least_conn,medium,read_heavy,542,91.99468104253373,214.18330003507435,566.6766077477314,1.013472086122405,0.0,0.003235312156989581,7.817927170868347,340121,323039,17082,0,600.2029999999795
least_conn,simple,balanced,142,3.7440750575953126,8.028300013393164,1535.0735263486774,0.6743860022748768,0.0,0.002690718372569464,7.570833333333333,921236,644879,276357,0,600.125
least_conn,simple,balanced,242,3.7102222229430977,7.892300025559962,1496.841407144522,0.7148300335832452,0.0,0.00268756188876626,9.243055555555555,898268,628600,269668,0,600.1089999999385
least_conn,simple,balanced,342,3.3734957652908055,7.361099938862026,1519.0338347807685,0.36325963236900954,0.0,0.0024090867878137938,7.551388888888888,911516,638007,273509,0,600.0629999999655
least_conn,simple,balanced,442,3.594610674702043,7.750099990516901,1513.6233584230813,0.7075119137692496,0.0,0.00260848262275437,7.629166666666666,908339,635804,272535,0,600.109000000055
least_conn,simple,balanced,542,3.550222609836131,7.463300018571317,1459.2657013525231,0.7519230216747136,0.0,0.0025974096940198053,9.195833333333333,875879,613713,262166,0,600.2189999999246
least_conn,simple,read_heavy,142,12.644332692162095,31.20540000963956,3654.5146962008234,1.0998274074400414,0.0,0.0026668397439059146,7.554621848739495,2192654,2083161,109493,0,599.984999999986
least_conn,simple,read_heavy,242,12.720197103673618,31.195600051432848,3680.444629475437,1.3023470854046821,0.0,0.002676707606553571,7.3500000000000005,2210107,2099382,110725,0,600.5
least_conn,simple,read_heavy,342,12.733389633780993,31.509899999946356,3624.957710517834,0.9880388302481309,0.0,0.002710818979390203,7.476388888888889,2175087,2066658,108429,0,600.0310000000754
least_conn,simple,read_heavy,442,13.034121740480655,32.29000000283122,3606.2236784435268,0.9352181648120735,0.0,0.0027305340488288734,7.554621848739495,2163846,2056274,107572,0,600.030999999959
least_conn,simple,read_heavy,542,12.891128970569053,31.79209993686527,3492.27,1.026038201533957,0.0,0.002749101904004927,7.2250000000000005,2095362,1990966,104396,0,600.0
load_based,complex,balanced,142,11821.75009689138,29913.98269997444,5.979903893822556,0.9379696752447415,0.0,0.0056832832234059525,10.488700564971753,3691,2573,1118,0,617.234000000055
load_based,complex,balanced,242,11530.1106164957,31764.973500045016,6.133650548392063,0.9556272562834991,0.0,0.005038603631060507,10.467514124293785,3795,2643,1152,0,618.7179999999935
load_based,complex,balanced,342,11550.260520181851,29899.010100052692,6.0875202593192865,0.9301298732257914,0.0,0.0051471764391389325,10.478632478632479,3756,2641,1115,0,617.0
